excluded_feature
fund__dividend_amount_ly0
fund__dividend_amount_ly1
fund__dividend_amount_ly2
fund__dividend_amount_ttm0
fund__dividend_amount_ttm1
fund__dividend_amount_ttm2
fund__dividend_yield_ttm
